Label1,m_J49,l_J49,r_J49,m_OME,l_OME,r_OME,m_JM116,l_JM116,r_JM116,m_PTAA,l_PTAA,r_PTAA
methanol,-1.46E-06,7.33E-06,2.148192173,-3.44E-07,-4.02E-05,0.989717185,5.17E-06,-0.000183597,-0.317615235,1.96E-06,1.22E-05,4.157371526
methanol,-3.48E-06,7.31E-05,4.164303816,-8.20E-07,-3.39E-05,1.727002957,1.18E-05,0.000353679,-0.065687789,1.25E-06,-4.31E-06,1.056733186
methanol,2.12E-07,0.000105107,5.261404497,-2.40E-06,2.77E-05,1.968278408,-6.59E-06,0.000166397,-0.077642115,2.86E-06,-0.000118459,-0.615368177
methanol,-1.06E-06,8.70E-05,4.812703508,-7.12E-07,5.78E-05,0.810493828,6.02E-06,0.000462543,-0.197255109,2.82E-06,-0.000100746,-1.859247019
methanol,-5.25E-07,0.000140517,7.624934324,-1.68E-06,9.54E-05,4.648975876,1.92E-05,-0.000316682,-0.372943656,1.12E-06,-3.42E-05,0.810006338
methanol,-3.16E-06,0.000248233,8.356048302,-4.97E-06,0.000287874,5.671112964,6.11E-06,-0.001035562,-0.24004905,2.57E-06,-5.80E-05,0.344780362
methanol,-1.38E-06,0.000113954,7.845332408,2.03E-06,0.000204024,7.32832301,2.89E-06,-0.000902769,-0.424258195,3.76E-06,-7.80E-05,0.373791189
methanol,-8.69E-07,0.000217543,7.823456501,-9.32E-08,0.000199362,7.660992312,2.92E-06,-0.000332301,-0.265055146,3.60E-06,-6.24E-05,-1.965804918
methanol,-1.08E-06,0.000259237,9.04171062,-4.55E-06,0.000293996,9.769341664,7.69E-06,-0.000964002,-0.502522954,7.12E-06,-2.80E-05,2.57781857
methanol,-1.71E-06,0.000370394,10.18843166,1.06E-06,0.000466334,9.718557417,-3.38E-05,-0.00199579,-0.534010623,7.90E-06,-2.29E-05,2.881020713
methanol,1.32E-07,0.000278282,11.54709543,1.14E-06,0.000412791,10.98964688,-4.85E-05,-0.000570533,-0.508294203,8.49E-06,-0.000100796,9.973718698
methanol,-7.69E-07,0.000264289,11.06090864,-4.78E-06,0.000352687,10.53558367,-4.90E-06,-0.001003656,-0.332879562,6.51E-06,-5.55E-05,5.8419509
methanol,-2.38E-06,0.000317985,12.6203948,-1.17E-05,0.00046506,11.45525917,-4.57E-05,-0.000902542,-0.646533397,4.58E-06,3.82E-05,3.174306407
methanol,-2.38E-06,0.000389162,12.65529031,-8.05E-06,0.000696366,11.7417235,6.62E-06,-0.000479371,-0.299508277,5.87E-06,-6.56E-05,5.178008134
methanol,5.89E-07,0.000420155,14.73565274,-2.49E-06,0.000388005,14.66507564,2.28E-05,-0.001244228,-0.292563777,2.79E-06,-4.16E-05,4.136167699
methanol,-7.19E-08,0.000438183,14.41754765,-3.64E-06,0.000505198,13.84126347,-3.83E-05,-0.000545565,-0.200511742,3.60E-06,-7.15E-05,3.357514834
methanol,3.90E-07,0.00036043,14.35930101,-4.03E-06,0.000538945,15.93837883,1.08E-05,-0.001784934,-0.609439798,5.20E-06,-5.20E-07,5.978908225
methanol,-1.23E-06,0.000420916,15.09330597,-7.01E-06,0.000609998,16.21174897,9.25E-05,-0.001786128,-0.252805314,5.56E-06,-2.59E-05,3.544495689
methanol,1.76E-06,0.000437531,16.85342215,-5.77E-06,0.000575751,17.23735832,9.58E-05,-0.000656907,-0.458985206,6.56E-06,-7.14E-05,12.32608429
methanol,1.27E-06,0.000449714,15.54810848,-2.24E-06,0.000580049,17.0212045,8.00E-05,-0.002414771,-0.545117592,5.78E-06,-3.61E-05,10.1073027
methanol,2.17E-07,0.000495383,16.881567,-4.19E-06,0.000598538,18.86564274,5.17E-05,-0.001344782,-0.388095133,3.25E-07,-3.36E-05,6.153046445
methanol,-1.23E-06,0.000538798,18.06691166,-4.39E-06,0.000754515,19.33674708,1.46E-05,-0.00148133,-0.427387729,1.22E-08,3.03E-05,5.368643836
methanol,-9.04E-08,0.000565193,18.84345431,-1.05E-05,0.000679543,20.04583158,3.14E-05,-0.001508039,-0.549946959,1.60E-06,-6.98E-05,4.584983605
methanol,-2.39E-06,0.000538185,17.6065017,-7.11E-06,0.000738643,20.49544916,1.50E-05,-0.0016641,-0.620642995,3.69E-06,-1.21E-05,6.44770861
methanol,-2.07E-06,0.000482146,18.4496342,-6.26E-06,0.000708351,20.83649746,5.04E-06,-0.002827304,-0.65342586,3.72E-06,-7.05E-05,4.93706779
methanol,-1.99E-07,0.000602368,20.12239594,-7.03E-06,0.000752525,21.51531688,-4.31E-05,-0.003943064,-0.781134172,4.26E-06,-4.80E-05,4.030511983
methanol,5.65E-07,0.000657315,21.64220209,-6.08E-06,0.000795979,22.95623898,2.76E-06,-0.003032645,-0.82372881,4.49E-06,-7.93E-05,4.757835147
methanol,-1.19E-06,0.00065589,20.34546499,-7.42E-06,0.000791197,21.83894905,3.12E-05,-0.002994337,-0.750127139,1.21E-06,-2.24E-05,1.158303281
methanol,-1.48E-06,0.000621217,22.5042782,-1.02E-05,0.000810886,22.54469867,1.03E-05,-0.002998487,-0.70266688,3.40E-06,-1.17E-05,8.588835451
methanol,-1.32E-06,0.000654467,22.49051393,-8.04E-06,0.000880302,23.68023037,0.000176396,-0.004155061,-0.643657631,2.32E-06,-3.23E-05,5.673871572
methanol,-1.31E-06,0.00077939,24.34061741,-2.47E-06,0.000825856,25.37848687,0.000194569,-0.002363389,-0.66594203,1.95E-06,-7.86E-05,6.44770861
propanol,-3.30E-07,2.52E-06,-0.385277586,3.57E-06,-5.74E-05,0.049149855,4.22E-07,0.000352575,0.139216694,2.83E-06,4.94E-06,0.468099122
propanol,2.91E-07,1.14E-05,0.852403058,1.13E-06,-3.13E-05,-0.334995104,5.33E-05,-0.000132524,0.271933818,1.34E-06,-3.96E-05,-0.414639247
propanol,1.16E-08,2.66E-05,1.300354225,3.02E-06,-0.000111551,-0.437677525,3.07E-05,-8.63E-05,0.040014886,2.01E-06,-0.000115393,3.93571025
propanol,-7.79E-07,4.02E-05,0.898399403,2.33E-06,-1.16E-05,-0.198622436,1.26E-05,-0.000833286,0.074949173,3.11E-06,-2.43E-05,-1.905032484
propanol,-2.31E-07,-4.14E-05,0.448119276,7.09E-07,-6.18E-05,0.190524318,-4.60E-06,-6.81E-05,0.1012578,4.39E-06,6.09E-06,1.933967647
propanol,-6.97E-07,1.48E-05,1.159111535,6.04E-07,0.000165324,1.087034723,-2.54E-05,-0.000155169,0.02902823,3.23E-07,-5.06E-05,0.3590853
propanol,-5.61E-07,5.86E-05,2.832903245,7.55E-07,-2.62E-05,2.077932707,-4.41E-06,0.0002063,-0.052143061,2.48E-06,-5.61E-05,2.978898908
propanol,-1.52E-06,2.41E-05,2.81627016,7.91E-07,3.13E-05,1.719098437,-4.09E-05,0.00050681,-0.062439077,2.25E-06,-5.86E-05,3.589409427
propanol,-6.00E-07,2.23E-05,4.142089351,-1.30E-06,8.11E-05,3.66023084,-5.41E-05,0.00052479,-0.025425649,3.91E-06,-1.75E-06,5.730284627
propanol,3.12E-07,0.00011814,3.7740463,-1.61E-06,0.000106346,4.165319206,1.29E-05,-0.000211058,0.243941932,3.34E-06,-2.50E-05,4.047268292
propanol,-3.54E-06,0.000190665,4.923953254,-1.32E-06,6.08E-05,5.575843166,1.69E-05,0.000232383,0.138702258,1.11E-06,-3.31E-05,3.026993631
propanol,-5.00E-06,0.000144304,4.923953254,-1.72E-06,0.000187225,5.197213892,1.07E-06,-0.00063582,0.035236066,5.32E-07,-1.52E-05,3.006469889
propanol,-2.84E-06,0.000140456,4.571027117,-5.89E-06,0.000357224,7.184094771,1.82E-06,0.000453913,0.018749607,3.35E-07,4.33E-06,4.43821346
propanol,-3.23E-06,0.000144976,7.089902032,-4.29E-06,0.000215228,6.706259575,-1.34E-05,-9.58E-05,0.031347307,2.60E-06,-3.28E-05,3.483325366
propanol,-2.88E-06,0.000194052,7.089902032,3.49E-06,0.000211688,8.627945401,-2.35E-05,0.000313846,-0.052220264,-1.05E-06,-5.03E-05,2.992390314
propanol,-8.52E-07,0.000126491,5.888651188,-2.89E-07,0.000229878,7.213233212,-3.68E-05,0.000771657,-0.085744316,-4.52E-08,-1.57E-05,0.015261298
propanol,-7.55E-07,0.000139473,6.849297878,1.68E-06,0.000211964,9.005272432,-5.05E-05,0.000580053,0.035663421,3.12E-06,2.37E-05,6.622499673
propanol,3.43E-07,0.000260121,8.093441968,-3.59E-07,0.000279497,9.930515736,-2.67E-05,-0.000429698,-0.094065434,1.89E-06,-5.62E-05,1.454044681
propanol,5.88E-07,0.000182584,8.964083415,-2.62E-06,0.000249816,10.58607834,-2.08E-05,-0.000613932,-0.232292816,-5.53E-06,0.000102475,7.825212752
propanol,1.09E-06,0.000191398,7.716635987,-3.54E-06,0.000209319,8.871050449,-4.18E-05,0.000573773,-0.198768764,-4.97E-06,0.000112804,6.598612464
propanol,-9.92E-07,0.000182835,7.930781766,-5.83E-06,0.00025551,10.95461084,-3.02E-05,-0.00049504,-0.130969633,-2.62E-08,-5.18E-06,6.598612464
propanol,-1.58E-06,0.000254267,8.805836422,-5.67E-06,0.000428686,11.23441321,1.23E-05,-0.001570503,-0.148706825,5.19E-07,-1.37E-05,5.310028351
propanol,-3.75E-06,0.000326229,9.332126467,-2.03E-06,0.000236463,11.5423559,3.54E-05,-0.000517362,-0.242027893,-8.86E-07,-4.58E-05,8.315122847
propanol,-1.78E-06,0.00024046,9.785076269,-2.81E-06,0.00025227,10.86588072,-1.25E-05,-0.000113772,-0.236571149,-7.89E-08,1.66E-05,4.746085425
propanol,-2.85E-07,0.000241399,9.389778781,-5.81E-06,0.000351253,11.8829079,-4.80E-06,-0.000135316,-0.177929678,9.37E-07,-4.33E-05,2.956902447
propanol,-1.59E-06,0.000244883,9.619474134,-1.44E-06,0.00030985,11.5423559,2.27E-06,-0.001452542,-0.375045769,3.71E-06,-4.63E-05,3.169153151
propanol,-4.97E-06,0.000408844,11.89275936,2.83E-06,0.000297479,12.74338485,-7.30E-06,-0.001386271,-0.301012296,5.15E-08,6.69E-05,6.630188457
propanol,-2.02E-06,0.000288307,10.61285868,-8.23E-07,0.000204703,12.38135449,3.25E-05,-0.001466691,-0.35182068,2.57E-06,2.74E-05,6.598612464
propanol,-1.78E-06,0.000272081,10.12810287,-4.94E-06,0.000301402,14.15754512,4.33E-06,-0.002209589,-0.431867982,3.02E-06,-2.09E-05,3.217247874
propanol,-7.03E-07,0.000324217,11.89275936,-2.69E-06,0.000255575,13.80803123,7.03E-06,-0.001701032,-0.221269705,-1.44E-07,-5.11E-05,2.423003159
propanol,6.50E-07,0.000340736,12.93763805,-2.07E-06,0.000284327,14.07363362,3.85E-06,-0.000458282,-0.254793757,-4.16E-06,0.000107625,7.4193258
propanol,-1.62E-06,0.000271105,11.96760219,-2.31E-06,0.000312854,12.68929718,3.05E-05,-0.001072514,-0.331574725,-7.88E-06,0.000158025,4.937660231
acetone,-1.73E-06,-3.13E-05,7.332291378,-3.48E-06,8.45E-05,0.204473257,2.73E-05,-0.000329201,-0.109223127,1.11E-06,-5.30E-05,-0.860372426
acetone,-3.33E-06,0.000114087,11.01623752,-4.85E-06,5.55E-05,0.131862879,-6.72E-06,-0.000861917,-0.089485133,6.63E-08,-6.21E-05,-0.731893489
acetone,-1.71E-06,9.62E-06,8.489472247,-6.71E-07,4.31E-05,1.342044632,6.96E-06,-0.001182802,0.016652542,1.36E-06,-5.64E-05,2.771750269
acetone,-1.53E-07,-3.78E-05,11.55335423,-2.68E-07,7.13E-05,0.771751585,2.02E-05,0.000167806,-0.144150082,3.50E-06,-9.98E-05,0.06111287
acetone,-3.33E-07,1.50E-05,12.25965323,-3.83E-06,0.000169701,1.647635354,-7.32E-06,-0.000927105,-0.236646434,3.64E-06,-9.33E-05,6.473918557
acetone,-1.65E-06,5.49E-05,16.1573754,-2.83E-06,0.000107746,2.939642295,-1.26E-05,-0.00069023,-0.109223127,1.72E-06,-2.30E-05,4.455988132
acetone,-1.44E-06,7.40E-05,18.62192201,-1.47E-06,6.54E-05,4.223917169,1.77E-05,-0.001548361,-0.039146843,1.37E-06,-8.19E-05,3.110572716
acetone,-2.69E-07,6.73E-05,25.04502692,-1.76E-06,0.000140414,3.272197476,-1.10E-05,-0.001008625,-0.524798554,1.18E-06,-8.58E-05,1.845845602
acetone,-1.39E-06,7.98E-05,25.68137906,-3.03E-06,0.0001472,5.676275484,-2.75E-05,-0.000717295,-0.215805866,1.73E-06,-7.89E-05,4.104023303
acetone,-4.02E-07,0.000150846,27.13366325,-4.85E-06,0.000226015,6.163623961,-2.04E-05,-0.001428736,-0.307386427,-6.18E-08,-4.30E-05,3.496947636
acetone,-2.33E-06,0.000149275,26.83370494,-4.94E-06,0.000223387,8.046048489,4.08E-08,-0.002001972,-0.352704297,1.81E-06,-6.56E-05,5.995782209
