Class,Glycine,Lactic acid,Pyruvic acid,Valine,Leucine1,Glycerol,Isoleucine,Leucine2,Malonic acid,Glycine2,Phosphate,Threonine1,Alanine,Threonine2,Succinic acid,Benzoic acid,Threitol,Malic acid,hydroxyproline1,Aspartic acid1,aminobutyric acid,Aspartic acid2,hydroxyproline2,Xylitol,Hydroxyglutaric acid,ethyl ester,Methionine,Creatinine,Putrescine,Hypotaurine,Glutamic acid,KA/AKA/T,Fructose,T/S/F1,S/A/M/G/G,T/S/F2,Glycerol3phoshate,A/M/G/G1,A/M/G/G2,A/M/G/G3,Citric acid,Acetylaspartic acid,Glucose,Scyllo-inositol,Lysine,S-I/M-I/I,Pantothenic acid,Tyramin/Tyrosine,Hexadecanoic acid,OA/SA/NA,Myo-Inositol-1-phosphate,a-l/l/M/c
N,0.9288834,1.923250878,0.036675993,NaN,0.087330659,0.072400981,0.114406238,0.010621381,0.511170022,0.118559492,5.683398869,0.035591246,0.067266372,NaN,0.01350919,0.010365495,0.033767762,0.012987373,0.041791712,0.01765686,0.007987115,NaN,0.084562891,0.007789971,0.003461848,0.022784838,0.006005061,0.003968426,0.138542292,0.018768629,0.52380989,0.002327345,0.005880117,0.184727812,0.031716348,0.068195537,0.016446979,0.011928015,0.00505395,0.002221556,0.102334036,0.005662438,0.006377251,0.005685434,NaN,0.701824692,0.000691883,0.00757083,0.024645916,0.121089568,0.001199631,0.002358135
N,0.919527669,1.881079876,0.034427636,NaN,0.092908051,0.063774876,0.128463312,0.007288977,0.50780244,0.123611951,5.027690007,0.034969031,0.066882554,0.002417811,0.012109312,0.010459792,0.027825074,0.011743214,0.042676231,0.017275351,0.008683618,NaN,0.084002677,0.007823049,0.004231637,0.030163132,0.009341305,NaN,0.130497438,0.0190223,0.468673148,0.002076314,0.006035916,0.1573385,0.027135161,0.058163387,0.019225718,0.007502395,0.00261046,0.001530516,0.083482996,0.005533241,0.002300266,NaN,NaN,0.683825396,NaN,0.00844945,0.027168112,0.12478634,0.002460243,0.003077176
N,0.966210645,1.716363431,0.021065409,0.001470618,0.072180881,0.045974048,0.09345504,0.002917143,0.517409377,0.1285704,7.789041878,0.032873478,0.07769862,NaN,NaN,0.012681654,0.026495276,0.026325168,0.049410576,0.015507193,0.005053176,NaN,0.055062582,0.007377396,0.005390206,0.028241228,0.006357899,NaN,0.111815531,0.016020931,0.490351467,0.002443475,0.008667154,0.129624968,0.022389185,0.04812958,0.024337078,0.055125007,0.035392496,0.010610442,0.057558628,0.006038098,0.040721903,0.006510054,NaN,0.692998507,0.001637814,0.005630442,0.025326587,0.117918791,NaN,0.001257124
N,0.930648602,1.667470135,0.023383221,0.001047683,0.071340446,0.037422673,0.093654579,0.003827654,0.523347066,0.121714986,7.401569428,0.033469732,0.049231183,NaN,NaN,0.010199129,0.026646746,0.020334122,0.052411128,0.014503354,0.00677716,NaN,0.057595723,0.007686262,0.006273983,0.02414752,0.007125267,NaN,0.119539128,0.017621083,0.463179833,0.002758654,0.006704982,0.135055642,0.024650241,0.048581383,0.018303082,0.08691711,0.035497228,0.016563392,0.062350737,0.005436588,0.044918179,0.005414896,NaN,0.669515916,0.001129408,0.003588189,0.024963609,0.106536289,0.000548963,0.000680107
N,0.936032038,1.478813726,0.02292851,NaN,NaN,0.041850194,0.055622449,0.004847744,0.399720791,0.117896515,7.728916552,0.022842774,0.030492267,0.000989317,NaN,0.004583588,0.022490323,0.009215337,0.0352778,0.012472441,NaN,NaN,0.045622737,0.005346831,NaN,0.019234101,0.003344156,NaN,0.100261288,0.013370965,0.238014716,NaN,0.00160852,0.098464371,0.017126289,0.036814304,0.013979812,0.018131803,0.007359433,0.00353172,0.066344511,0.003150622,0.009195754,NaN,NaN,0.507014834,NaN,0.003435155,0.01945305,0.098512268,0.001041485,0.001384254
N,0.901710273,1.301509253,0.022925706,NaN,0.058999249,0.034811515,0.073900858,0.006175189,0.503436698,0.126779374,5.765865703,NaN,0.024077784,0.00138972,NaN,0.006814821,0.02050019,0.020672012,0.050397583,0.014002155,NaN,NaN,0.05445278,0.005746424,0.005561292,0.025007707,0.006159801,NaN,0.128642111,0.020922488,0.575639519,0.003640013,0.007405524,0.100633733,0.01631689,0.03625808,0.023527064,0.033624341,0.013169701,0.006263799,0.035806612,0.005993914,0.018952039,0.005413685,NaN,0.652906905,0.000926031,0.001933946,0.021358581,0.099187239,0.000860788,NaN
N,0.933201777,2.087067437,0.046656097,0.000599,0.112807252,0.084825294,0.150091494,0.014878756,0.523108537,NaN,NaN,0.041885209,0.074069137,0.004625893,0.015056079,0.01486467,0.037141756,0.014734936,0.03443207,0.022454478,0.009101063,NaN,0.107808527,0.009998985,0.005289787,0.02635879,0.011343335,0.005856986,0.14745426,0.019293254,0.667898735,0.003335707,0.006214517,0.211099731,0.03459873,0.079245254,0.02226045,0.012544785,0.00501701,0.002234167,0.110352548,NaN,0.005813561,0.005869399,0.00244717,0.761327771,0.000767227,0.014970636,0.024236447,0.114369139,0.001745424,0.002283296
N,0.939872858,2.040786678,0.04689664,0.00104263,0.087518769,0.072940707,0.122717347,0.007116834,0.521257947,0.115888203,5.616422901,0.033232093,0.085451584,0.002453743,NaN,0.010180602,0.035136937,0.011225654,0.028771386,0.018362399,0.006404844,0.003593899,0.078842234,0.007925322,0.00314117,0.023672529,0.00730108,NaN,0.113602308,0.014611024,0.545270672,0.002449049,0.004921526,0.191431544,0.032479343,0.070343447,0.016180169,0.013447993,0.003278067,0.002629401,0.076552345,NaN,0.002784347,NaN,NaN,0.635949064,0.000678794,0.007451182,0.0229266,0.099644546,0.001287154,0.00287992
N,0.950470244,1.529847513,0.024711358,0.003243893,0.075530173,0.034951005,0.095597896,NaN,0.524208801,NaN,4.441715503,0.032208079,0.027637901,NaN,0.012031671,0.010402521,NaN,0.02619204,0.060068556,0.016627404,0.007225952,NaN,0.064708994,0.008124251,0.005540578,0.027732083,0.010303406,NaN,0.144296293,0.020823245,0.49565918,0.002984768,0.008873221,0.106871067,0.01821677,0.038952323,0.023732903,0.067276333,0.020038383,0.012856347,0.062291969,0.005995693,0.02570277,0.006301891,NaN,0.735944266,0.001623612,0.005071619,0.028923909,0.122513878,NaN,0.000673699
N,0.964107255,2.09248729,0.046857445,0.001355043,0.085015385,0.054294699,0.122880987,0.009207021,0.531892425,0.125491482,4.954016119,0.040661147,0.06033445,NaN,0.017657721,0.010561433,0.037377347,0.030446711,0.044357437,0.021618646,0.008588862,NaN,0.078655704,NaN,0.007045207,0.02204451,0.007241934,NaN,0.159196996,0.02609234,0.932092957,0.004905556,0.01010279,0.252499294,0.041291824,0.092863823,0.02383087,0.137749539,0.035704536,0.026066372,0.082266382,0.006904831,0.044164255,0.006664498,NaN,0.833735492,0.001839777,0.006823094,0.024316745,0.10417883,0.001169822,0.001987528
N,0.943457037,1.97976059,0.046401064,NaN,0.095995098,0.077683113,0.138866454,0.015677573,0.525855902,NaN,4.252864497,0.041978555,0.060788164,NaN,0.014095162,0.01336926,0.031749257,0.015727749,0.047513849,0.019844273,0.008274137,NaN,0.102865232,0.009622073,0.00557856,0.023219368,NaN,NaN,0.124539445,0.021452111,0.70599349,0.003483112,0.005880976,0.196771524,0.033442895,0.073514551,0.020303969,0.017334381,0.004253334,0.003106368,0.101778336,0.006636318,0.004722148,NaN,0.001685886,0.726981385,0.000660067,0.013233649,0.026441558,0.113667214,0.00148947,0.002948692
N,0.906082621,1.366365516,0.019413459,NaN,0.063303232,0.031562339,0.077926061,0.003992823,0.485933456,0.122997873,4.124722174,0.029957253,0.027690339,0.001203886,0.010721155,0.006879656,0.020395679,0.024619072,0.059462407,0.013623115,0.007027405,NaN,0.068611446,0.005925832,0.004813127,0.023253074,NaN,0.002182085,0.128210028,0.019482576,0.495736087,0.002340321,0.007381284,0.110021225,0.018169296,0.040260845,0.025335138,0.057901894,0.012810049,0.011829579,0.05744465,0.006461959,0.01360141,NaN,NaN,0.681580278,0.002069271,0.004532032,0.024706617,0.115965033,0.001379015,0.000580588
N,0.906058977,1.317908823,0.019990115,NaN,0.05773243,0.02803862,0.066484159,0.001781496,0.493257271,0.106153162,3.133341148,0.023343237,0.035026653,0.000540785,0.01049448,0.007730275,0.017263848,0.022131412,0.050981223,0.01060585,0.004985762,NaN,0.04345861,0.006041054,0.003777721,0.023366278,0.003259407,NaN,0.098945182,0.012934058,0.468443616,0.003274676,0.005873552,0.100872074,0.016152528,0.035809462,0.020153461,0.033253057,0.008601111,0.006533585,0.038737117,0.004424977,0.009922126,NaN,NaN,0.532249125,0.001172964,0.001020473,0.02515645,0.120948437,NaN,0.000959317
N,0.921507053,1.742384726,0.037532319,NaN,0.073864697,0.0398432,0.093622764,0.004161943,0.506092391,0.108996317,3.803711333,0.034057062,0.040360316,0.000860142,0.013889746,0.008856479,0.029889108,0.018704954,0.049526028,0.016423453,0.007783349,NaN,0.066423934,0.007829235,0.005841663,0.022856561,NaN,NaN,0.126696256,0.018302811,0.56742801,0.004385068,0.007237519,0.196090348,0.028903262,0.071239123,0.016797677,0.118520838,0.01472392,0.023553532,0.061609196,0.005785062,0.013128562,0.004531574,NaN,0.622240928,0.001139492,0.003699584,0.022455643,0.107401782,0.000762141,0.001616593
